transaction_item_id,transaction_id,event_id,user_id,event_name,timestamp_event,payment_method_id,product_id,qty,price,original_amount
1000191,100019,250933,10003,complete,5/15/2021 22:32:40,4,10000,8,100000,800000
1002601,100260,161076,10041,complete,1/15/2020 17:17:58,2,10000,8,100000,800000
1008021,100802,117276,10136,complete,5/15/2019 13:45:08,2,10000,8,100000,800000
1019601,101960,223154,10326,complete,11/30/2020 7:27:28,3,10000,8,100000,800000
1037631,103763,217942,10620,cancelled,11/9/2020 13:39:20,2,10000,8,100000,800000
1102501,110250,141304,20034,complete,10/10/2019 12:37:22,2,10000,8,100000,800000
1104441,110444,251689,20067,complete,5/20/2021 12:49:43,1,10000,8,100000,800000
1112991,111299,128459,20201,complete,7/20/2019 19:42:38,3,10000,8,100000,800000
1116401,111640,173895,20256,complete,3/25/2020 16:40:06,3,10000,8,100000,800000
1119611,111961,233290,20314,complete,1/14/2021 21:59:05,3,10000,8,100000,800000
1000472,100047,132295,10006,cancelled,8/13/2019 18:59:19,2,10000,8,100000,800000
1004892,100489,140207,10083,complete,10/5/2019 7:35:13,1,10000,8,100000,800000
1008572,100857,246307,10146,complete,4/16/2021 8:57:05,4,10000,8,100000,800000
1002152,100215,268996,10034,complete,9/3/2021 11:53:25,1,10000,8,100000,800000
1009233,100923,134643,10156,complete,9/1/2019 9:48:24,4,10000,8,100000,800000
1001513,100151,201067,10022,complete,8/27/2020 18:26:56,1,10000,8,100000,800000
1002323,100232,250726,10037,complete,5/14/2021 13:49:36,2,10000,8,100000,800000
1003883,100388,268188,10065,complete,8/28/2021 18:22:56,2,10000,8,100000,800000
1005161,100516,263377,10086,complete,8/2/2021 7:33:04,1,10000,5,100000,500000
1005191,100519,118656,10087,complete,5/24/2019 9:16:40,1,10000,5,100000,500000
1010021,101002,182057,10169,complete,5/18/2020 11:39:45,3,10000,5,100000,500000
1012731,101273,253049,10215,complete,5/30/2021 9:05:10,1,10000,5,100000,500000
1014681,101468,271979,10249,complete,9/17/2021 20:06:50,1,10000,5,100000,500000
1015191,101519,232439,10258,complete,1/9/2021 6:46:44,1,10000,5,100000,500000
1018731,101873,120027,10312,complete,6/2/2019 16:03:48,2,10000,5,100000,500000
1022851,102285,115934,10380,complete,5/8/2019 9:14:55,3,10000,5,100000,500000
1025911,102591,255537,10426,complete,6/18/2021 11:40:46,1,10000,5,100000,500000
1101191,110119,271928,20011,complete,9/17/2021 16:08:36,1,10000,5,100000,500000
1102071,110207,231205,20026,complete,1/1/2021 17:17:40,1,10000,5,100000,500000
1114941,111494,109801,20232,complete,3/28/2019 20:38:27,3,10000,5,100000,500000
1115271,111527,139788,20237,complete,10/2/2019 22:03:13,1,10000,5,100000,500000
1121241,112124,190167,20342,complete,7/7/2020 11:35:34,2,10000,5,100000,500000
1121261,112126,194430,20342,complete,7/27/2020 11:33:59,2,10000,5,100000,500000
1008532,100853,103971,10146,complete,2/6/2019 22:14:50,2,10000,5,100000,500000
1021042,102104,111393,10351,complete,4/11/2019 12:22:44,2,10000,5,100000,500000
1000102,100010,147371,10002,complete,11/9/2019 12:49:36,3,10000,5,100000,500000
1003632,100363,138642,10061,complete,9/26/2019 16:15:27,2,10000,5,100000,500000
1004962,100496,141891,10084,complete,10/13/2019 17:05:52,4,10000,5,100000,500000
