event_id,event_name,timestamp_event,user_id,payment_method_id,transaction_id,voucher,voucher_id,voucher_amount,original_amount,paid_amount
180538,complete,5/8/2020 12:48:05,10039,2,100244,FALSE,,0,2240000,2240000
281555,complete,11/10/2021 15:12:58,10105,3,100635,FALSE,,0,800000,800000
251820,complete,5/21/2021 8:24:17,10167,1,100994,FALSE,,0,800000,800000
105065,complete,2/16/2019 10:10:26,10180,1,101064,FALSE,,0,800000,800000
143069,complete,10/19/2019 10:56:53,10237,2,101397,FALSE,,0,800000,800000
239691,cancelled,2/28/2021 18:49:00,10257,1,101517,FALSE,,0,800000,800000
115777,complete,5/7/2019 13:01:49,10282,1,101670,FALSE,,0,800000,800000
223154,complete,11/30/2020 7:27:28,10326,3,101960,FALSE,,0,800000,800000
137264,complete,9/17/2019 10:59:47,10368,2,102213,FALSE,,0,800000,800000
162891,complete,1/25/2020 17:58:43,10414,2,102502,FALSE,,0,800000,800000
132220,complete,8/13/2019 11:46:52,10415,1,102508,FALSE,,0,800000,800000
245672,complete,4/11/2021 14:27:04,10418,2,102532,FALSE,,0,800000,800000
259255,complete,7/10/2021 8:25:15,10440,1,102675,FALSE,,0,800000,800000
178061,complete,4/21/2020 15:51:48,10487,1,102945,FALSE,,0,800000,800000
243778,cancelled,3/27/2021 19:47:02,10514,3,103095,FALSE,,0,800000,800000
243109,complete,3/23/2021 17:34:24,10546,2,103306,FALSE,,0,800000,800000
134012,complete,8/26/2019 7:57:43,10607,1,103680,FALSE,,0,800000,800000
217942,cancelled,11/9/2020 13:39:20,10620,2,103763,FALSE,,0,800000,800000
182456,complete,5/20/2020 10:13:54,10696,3,104307,FALSE,,0,800000,800000
242780,complete,3/21/2021 22:30:09,10701,2,104353,FALSE,,0,800000,800000
233822,complete,1/18/2021 9:18:07,10778,3,105048,FALSE,,0,800000,800000
255496,cancelled,6/17/2021 22:50:47,10802,1,105257,FALSE,,0,800000,800000
277671,complete,10/20/2021 13:54:39,10817,5,105384,FALSE,,0,800000,800000
166099,complete,2/14/2020 7:11:03,10865,3,105786,FALSE,,0,800000,800000
239336,complete,2/26/2021 16:44:30,10877,2,105895,FALSE,,0,800000,800000
290948,cancelled,12/30/2021 10:24:20,10877,2,105901,FALSE,,0,800000,800000
232295,complete,1/8/2021 7:41:51,10893,2,106024,FALSE,,0,800000,800000
223833,complete,12/2/2020 18:27:02,10926,4,106293,FALSE,,0,800000,800000
113311,complete,4/23/2019 11:03:18,10938,2,106386,FALSE,,0,800000,800000
139445,complete,10/1/2019 13:26:34,10973,4,106705,FALSE,,0,800000,800000
189593,complete,7/4/2020 15:55:07,10974,2,106720,FALSE,,0,800000,800000
249952,complete,5/9/2021 16:04:41,10978,4,106755,FALSE,,0,800000,800000
168275,complete,2/24/2020 15:35:38,10979,5,106760,FALSE,,0,800000,800000
179038,complete,4/28/2020 18:08:57,10997,1,106933,FALSE,,0,800000,800000
102519,complete,1/22/2019 20:13:17,11038,5,107286,FALSE,,0,800000,800000
178450,complete,4/24/2020 16:23:02,11046,4,107349,FALSE,,0,800000,800000
227223,complete,12/15/2020 18:58:31,11056,2,107435,FALSE,,0,800000,800000
239217,complete,2/25/2021 15:43:40,11080,2,107625,FALSE,,0,800000,800000
260683,complete,7/17/2021 20:45:38,11105,4,107859,FALSE,,0,800000,800000
111839,cancelled,4/13/2019 18:38:43,11105,4,107863,FALSE,,0,800000,800000
135853,complete,9/8/2019 12:22:16,11121,2,108027,FALSE,,0,800000,800000
142839,complete,10/18/2019 11:17:01,11123,2,108048,FALSE,,0,800000,800000
199266,complete,8/19/2020 17:32:09,11132,2,108143,FALSE,,0,800000,800000
255731,complete,6/19/2021 16:20:57,11134,2,108163,FALSE,,0,800000,800000
122914,complete,6/18/2019 22:30:06,11138,4,108191,FALSE,,0,800000,800000
139831,complete,10/3/2019 9:33:00,11138,2,108193,FALSE,,0,800000,800000
135349,cancelled,9/5/2019 7:40:55,11151,4,108321,FALSE,,0,800000,800000
247974,complete,4/27/2021 8:26:05,11158,2,108400,FALSE,,0,800000,800000
131958,complete,8/11/2019 14:02:01,11161,2,108422,FALSE,,0,800000,800000
227585,complete,12/17/2020 6:22:17,11175,2,108583,FALSE,,0,800000,800000
141293,complete,10/10/2019 11:37:14,11176,4,108587,FALSE,,0,800000,800000
215864,complete,11/1/2020 9:59:25,11179,4,108621,FALSE,,0,800000,800000
271763,complete,9/16/2021 19:56:22,11189,3,108732,FALSE,,0,800000,800000
108554,complete,3/18/2019 10:15:36,11193,2,108767,FALSE,,0,800000,800000
142627,complete,10/17/2019 13:46:23,11196,4,108800,FALSE,,0,800000,800000
193694,complete,7/23/2020 14:52:42,11197,1,108815,FALSE,,0,800000,800000
189823,complete,7/5/2020 14:33:39,11205,4,108901,FALSE,,0,800000,800000
271754,cancelled,9/16/2021 19:24:51,11228,4,109171,FALSE,,0,800000,800000
109982,complete,4/1/2019 18:23:53,11230,2,109185,FALSE,,0,800000,800000
119850,complete,6/1/2019 13:07:24,11236,2,109249,FALSE,,0,800000,800000
207245,complete,9/26/2020 7:17:14,11236,2,109254,FALSE,,0,800000,800000
205750,complete,9/19/2020 15:33:54,11246,4,109374,FALSE,,0,800000,800000
111584,complete,4/12/2019 18:40:51,11258,2,109524,FALSE,,0,800000,800000
196948,complete,8/9/2020 15:33:44,11260,3,109551,FALSE,,0,800000,800000
201807,complete,9/1/2020 12:50:51,11264,4,109608,FALSE,,0,800000,800000
202872,complete,9/5/2020 22:55:43,20100,2,110665,FALSE,,0,800000,800000
128459,complete,7/20/2019 19:42:38,20201,3,111299,FALSE,,0,800000,800000
270344,complete,9/10/2021 8:55:46,20232,1,111503,FALSE,,0,800000,800000
239541,complete,2/27/2021 19:53:36,20290,2,111835,FALSE,,0,800000,800000
100188,complete,1/2/2019 12:51:04,20339,2,112106,FALSE,,0,800000,800000
118377,complete,5/22/2019 6:30:46,20354,4,112217,FALSE,,0,800000,800000
191536,complete,7/13/2020 20:47:12,20380,1,112454,FALSE,,0,800000,800000
250033,complete,5/10/2021 8:05:41,20380,4,112456,FALSE,,0,800000,800000
249434,complete,5/6/2021 9:53:38,20391,1,112544,FALSE,,0,800000,800000
160186,complete,1/11/2020 11:08:53,20431,3,112873,FALSE,,0,800000,800000
104681,complete,2/12/2019 18:31:35,20451,2,113042,FALSE,,0,800000,800000
279749,complete,11/1/2021 10:42:14,20459,2,113109,FALSE,,0,800000,800000
186363,complete,6/15/2020 17:36:44,20461,2,113123,FALSE,,0,800000,800000
111062,complete,4/8/2019 22:50:14,20469,2,113210,FALSE,,0,800000,800000
165963,complete,2/13/2020 10:14:50,20470,2,113220,FALSE,,0,800000,800000
103360,complete,2/2/2019 7:21:49,20475,2,113266,FALSE,,0,800000,800000
101430,complete,1/13/2019 17:38:37,20486,2,113363,FALSE,,0,800000,800000
150275,complete,11/22/2019 18:53:26,20512,2,113588,FALSE,,0,800000,800000
216075,complete,11/2/2020 12:09:04,20530,2,113779,FALSE,,0,800000,800000
248772,complete,5/2/2021 16:24:42,20563,4,114075,FALSE,,0,800000,800000
143326,complete,10/20/2019 7:56:54,20579,2,114215,FALSE,,0,800000,800000
289611,complete,12/22/2021 14:42:24,20583,2,114263,FALSE,,0,800000,800000
121464,complete,6/10/2019 18:35:01,20602,4,114448,FALSE,,0,800000,800000
272405,complete,9/20/2021 8:58:39,20605,2,114481,FALSE,,0,800000,800000
282034,complete,11/13/2021 13:59:36,20606,2,114492,FALSE,,0,800000,800000
236573,complete,2/8/2021 22:38:17,20653,1,115009,FALSE,,0,800000,800000
150265,complete,11/22/2019 18:18:00,20677,2,115269,FALSE,,0,800000,800000
203524,complete,9/8/2020 22:57:49,20690,4,115426,FALSE,,0,800000,800000
